GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hotel-registration-service,com.reservation.hotel.validators,ReservationDatesValidator,22,45,5,7,9,15,5,3,0,2
hotel-registration-service,com.reservation.hotel.config,TraceIdFilter,48,0,4,0,14,0,5,0,3,0
hotel-registration-service,com.reservation.hotel.config,FeignTraceIdInterceptor,0,45,2,2,0,7,2,3,0,3
hotel-registration-service,com.reservation.hotel.config,OpenApiConfig,54,0,0,0,19,0,2,0,2,0
hotel-registration-service,com.reservation.hotel.exception,ReservationErrorResponse,0,24,0,0,0,8,0,1,0,1
hotel-registration-service,com.reservation.hotel.exception,PaymentReferenceNotFoundException,0,4,0,0,0,2,0,1,0,1
hotel-registration-service,com.reservation.hotel.exception,PaymentNotConfirmedException,0,4,0,0,0,2,0,1,0,1
hotel-registration-service,com.reservation.hotel.exception,ReservationNotFoundException,0,4,0,0,0,2,0,1,0,1
hotel-registration-service,com.reservation.hotel.exception,GlobalExceptionHandler,308,91,24,6,68,22,21,4,7,3
hotel-registration-service,com.reservation.hotel.kafka,BankTransferPaymentUpdateProducer,0,29,0,0,0,9,0,2,0,2
hotel-registration-service,com.reservation.hotel.kafka,BankTransferPaymentListener,13,86,4,6,4,21,4,5,0,4
hotel-registration-service,com.reservation.hotel.services,ReservationCancellationScheduler,0,17,0,0,0,5,0,2,0,2
hotel-registration-service,com.reservation.hotel.controller,ReservationController,0,25,0,0,0,9,0,3,0,3
hotel-registration-service,com.reservation.hotel.services.impl,ReservationServiceImpl,11,363,5,25,4,93,5,20,0,7
hotel-registration-service,com.reservation.hotel.mocks,MockPaymentStatusController,72,0,6,0,21,0,6,0,3,0
